"Name","Gross Export","Share","Code","Sector"
"Kaolin","2958706","0.00576924705187013","2507","Minerals"
"Clays","8586871","0.016743731956314387","2508","Minerals"
"Chalk","244989","0.0004777095345027898","2509","Minerals"
"Natural calcium phosphates","195730896","0.38166005500644506","2510","Minerals"
"Natural barium sulfate","3764","0.000007339507846754347","2511","Minerals"
"Siliceous fossil meals and earths","4942","0.000009636516413034001","2512","Minerals"
"Natural abrasives","38842","0.00007573888517099691","2513","Minerals"
"Slate","15117","0.000029476976652334076","2514","Minerals"
"Marble","130592888","0.2546459952726651","2515","Minerals"
"Granite","6910920","0.013475757589875547","2516","Minerals"
"Gravel","1896534","0.0036980940952806613","2517","Minerals"
"Dolomite","67261","0.000131153729351898","2518","Minerals"
"Natural magnesia","41213","0.00008036215113928983","2519","Minerals"
"Gypsum","4309692","0.008403564891364089","2520","Minerals"
"Limstone","1629326","0.0031770592353668635","2521","Minerals"
"Quicklime","408162","0.0007958842193801668","2522","Minerals"
"Cements","99937784","0.19487092185314586","2523","Minerals"
"Asbestos","3305","0.000006444493473305822","2524","Minerals"
"Mica","167889","0.0003273705188320246","2525","Minerals"
"Natural steatite","2405202","0.004689957213610322","2526","Minerals"
"Natural borates","25276","0.0000492862381335183","2528","Minerals"
"Feldspar","116898","0.00022794202663918431","2529","Minerals"
"Mineral substances n.e.c.","1415492","0.0027600995326827853","2530","Minerals"
"Iron ores and concentrates","18804718","0.036667740519926335","2601","Minerals"
"Manganese > 47% by weight","9309564","0.018152927212503132","2602","Minerals"
"Copper ore","30891","0.00006023505230980035","2603","Minerals"
"Tin ore","345190","0.0006730937071256995","2609","Minerals"
"Chromium ore","2657","0.0000051809437696137885","2610","Minerals"
"Uranium ore","31044","0.000060533390434283196","2612","Minerals"
"Molybdenum ore","25621","0.000049958961355391376","2613","Minerals"
"Titanium ore","780618","0.0015221445101800438","2614","Minerals"
"Precious metal ores","227665","0.0004439290791528503","2616","Minerals"
"Other ores","57992","0.00011307989879090812","2617","Minerals"
"Granulated iron or steel slag","205574","0.0004008533438067689","2618","Minerals"
"Iron or steel slag","10251149","0.019988944878785327","2619","Minerals"
"Slag, ash and residues containing metals","1032664","0.002013614646934307","2620","Minerals"
"Other slag and ash","2483891","0.004843394655946466","2621","Minerals"
"Coal","45523744","0.08876776734900003","2701","Minerals"
"Lignite","29456226","0.0574373543737432","2702","Minerals"
"Peat","77668","0.00015144657158387795","2703","Minerals"
"Coke","15741928","0.030695537746823053","2704","Minerals"
"Non-petroleum gases","24705","0.00004817283245325881","2705","Minerals"
"Tar distilled from coal, lignite etc.","859808","0.0016765588636296922","2706","Minerals"
"Oils etc. from high temperature coal tar","18011770","0.03512155346677326","2707","Minerals"
"Pitch and pitch coke","1528679","0.002980805397361474","2708","Minerals"
"Petroleum oils, crude","5389069312","10.508266870915794","2709","Minerals"
"Petroleum oils, refined","2347323904","4.57709941877844","2710","Minerals"
"Petroleum gases","501181760","0.9772655313948337","2711","Minerals"
"Petroleum jelly","130295864","0.2540668215270025","2712","Minerals"
"Petroleum coke","13543505","0.0264087835334901","2713","Minerals"
"Bitumen and asphalt, natural","8635526","0.016838605429822313","2714","Minerals"
"Bituminous mixtures","242873","0.00047358349874196827","2715","Minerals"
"Electrical energy","65561708","0.1278402418471353","2716","Minerals"
